Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG25,47,-10.74,40.85,0.9196,,,0.0277,
HG,38,-10.54,39.02,0.0266,,,0.0176,
ETH-1,54,1.97,37.00,0.2160,0.0042,± 0.0082,0.0126,0.122
ETH-2,51,-10.17,19.87,0.2198,0.0050,± 0.0099,0.0167,0.680
ETH-3,54,1.66,37.48,0.6322,0.0038,± 0.0075,0.0160,1.000
ETH-4,55,-10.25,19.73,0.4726,0.0049,± 0.0096,0.0142,0.407
