Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE,c2 ± SE
B,10,30,-10.638,30.760,0.1080,14.9743,0.0141,0.903 ± 0.010,0.106 ± 0.243,-0.925 ± 0.005,-5.0e-03 ± 4.4e-04
C,8,21,-10.648,30.712,0.1164,13.2413,0.0206,0.905 ± 0.013,-0.676 ± 0.271,-1.001 ± 0.007,-5.2e-03 ± 6.8e-04
D,5,8,-10.646,30.698,0.1499,17.3698,0.0125,0.908 ± 0.017,0.155 ± 0.388,-1.118 ± 0.009,-4.7e-03 ± 8.2e-04
S1,13,20,-10.661,30.638,0.0736,4.9491,0.0247,0.944 ± 0.010,0.223 ± 0.317,-0.906 ± 0.006,
S2,12,25,-10.650,30.734,0.1421,11.1527,0.0159,0.918 ± 0.010,0.287 ± 0.265,-0.910 ± 0.005,
S3,25,56,-10.645,30.768,0.3685,13.6080,0.0191,0.916 ± 0.007,2.145 ± 0.190,-0.920 ± 0.004,
S4,12,54,-10.655,30.769,0.3046,9.1010,0.0164,0.928 ± 0.009,2.061 ± 0.238,-0.927 ± 0.005,
