UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
74563,2015-03 - 2018-05,ETH-3,-10.389,33.096,10.612400,4.123700,14.734100,nan,nan,0.704906,37.335874,-0.311328,nan,nan,0.610277
74651,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.367720,-12.761300,-13.334500,nan,nan,-10.304690,19.898982,-0.418691,nan,nan,0.488473
74956,2015-03 - 2018-05,HG1000,-10.389,33.096,-25.434600,-21.900600,-47.981900,nan,nan,-36.527398,10.504509,-0.812093,nan,nan,0.066835
74963,2015-03 - 2018-05,EG4,-10.389,33.096,0.266920,1.565800,1.904500,nan,nan,-10.163819,34.714458,0.089294,nan,nan,1.022244
74970,2015-03 - 2018-05,EG60,-10.389,33.096,-25.930200,-47.726300,-72.502200,nan,nan,-36.080623,-16.203398,-0.080914,nan,nan,0.818321
74998,2015-03 - 2018-05,EG4,-10.389,33.096,-23.881100,1.327000,-23.243100,nan,nan,-35.745022,34.523317,0.134410,nan,nan,1.060061
75005,2015-03 - 2018-05,EG60,-10.389,33.096,1.130300,29.299200,29.851900,nan,nan,-10.267946,63.394373,-0.134401,nan,nan,0.799735
75019,2015-03 - 2018-05,EG4,-10.389,33.096,1.516300,38.642500,39.652600,nan,nan,-10.199291,73.056420,0.059259,nan,nan,1.004670
75160,2015-03 - 2018-05,EG60,-10.389,33.096,1.050600,29.384700,29.826500,nan,nan,-10.355527,63.482985,-0.158488,nan,nan,0.774677
75167,2015-03 - 2018-05,EG60,-10.389,33.096,-24.230800,-7.382000,-32.202400,nan,nan,-35.792815,25.517097,-0.127273,nan,nan,0.784694
75174,2015-03 - 2018-05,EG60,-10.389,33.096,-2.454100,-47.462500,-49.200200,nan,nan,-11.212628,-15.983433,-0.106861,nan,nan,0.799770
75281,2015-03 - 2018-05,ETH-2,-10.389,33.096,-0.256030,-13.023300,-13.735000,nan,nan,-10.176574,19.627770,-0.678868,nan,nan,0.217767
75326,2015-03 - 2018-05,EG4,-10.389,33.096,-23.859800,0.888170,-23.669300,nan,nan,-35.706217,34.069420,0.106107,nan,nan,1.030475
75429,2015-03 - 2018-05,EG60,-10.389,33.096,1.137100,29.170800,29.747000,nan,nan,-10.256052,63.261565,-0.120682,nan,nan,0.813963
75488,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.497000,4.078000,15.626600,nan,nan,1.644019,37.286564,-0.290047,nan,nan,0.632730
75683,2015-03 - 2018-05,ETH-1,-10.389,33.096,11.772100,3.584600,14.983400,nan,nan,1.953774,36.775662,-0.720612,nan,nan,0.184749
75823,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.508900,3.878300,15.399400,nan,nan,1.664006,37.080010,-0.330336,nan,nan,0.590751
76535,2015-03 - 2018-05,EG60,-10.389,33.096,-24.162900,-7.780600,-32.504900,nan,nan,-35.706055,25.104701,-0.117097,nan,nan,0.795166
76570,2015-03 - 2018-05,EG60,-10.389,33.096,-24.090500,-6.861000,-31.550700,nan,nan,-35.663485,26.055602,-0.118201,nan,nan,0.794364
76754,2015-03 - 2018-05,HG1000,-10.389,33.096,-25.096100,-21.125500,-46.905100,nan,nan,-36.197667,11.305353,-0.818674,nan,nan,0.060381
76755,2015-03 - 2018-05,HG1000,-10.389,33.096,-25.095700,-21.127800,-46.909400,nan,nan,-36.197157,11.302973,-0.821298,nan,nan,0.057650
76761,2015-03 - 2018-05,EG4,-10.389,33.096,-23.822200,0.764370,-23.800200,nan,nan,-35.661792,33.941296,0.053769,nan,nan,0.976001
76762,2015-03 - 2018-05,EG4,-10.389,33.096,-23.822300,0.764370,-23.791000,nan,nan,-35.661898,33.941296,0.063300,nan,nan,0.985915
76768,2015-03 - 2018-05,EG4,-10.389,33.096,-23.799500,0.922200,-23.607200,nan,nan,-35.643575,34.104475,0.072498,nan,nan,0.995547
