Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG30,110,-5.90,36.40,0.8938,,,0.0207,
HG1000,83,-7.17,42.76,0.0266,,,0.0187,
102-GC-AZ01,19,0.73,24.72,0.6134,0.0054,± 0.0107,0.0230,0.567
ETH-1,14,1.88,37.59,0.2144,0.0058,± 0.0115,0.0217,0.355
ETH-2,13,-10.17,20.49,0.2060,0.0070,± 0.0139,0.0163,0.787
ETH-3,15,1.56,38.04,0.6194,0.0056,± 0.0111,0.0152,1.000
ETH-4,12,-10.23,20.43,0.4451,0.0071,± 0.0139,0.0172,0.850
NBS-19,9,1.78,37.60,0.3108,0.0072,± 0.0141,0.0161,0.972
OLHG,5,-5.68,34.28,0.0309,0.0103,± 0.0202,0.0186,0.779
