UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
39,2013-S01,EG30,-32.913,36.935,-3.811000,-105.480000,-106.929000,-191.480000,-106.310000,-32.852234,-72.542546,0.432755,10.440406,117.056063,0.974088
40,2013-S01,EG30,-32.913,36.935,-0.630000,-21.159000,-21.380000,-38.803000,-23.888000,-32.778118,14.973700,0.053808,3.201332,18.668455,0.870311
41,2013-S01,EG30,-32.913,36.935,-0.555000,-21.091000,-21.239000,-37.223000,63.082000,-32.702865,15.044116,0.052128,4.710780,109.189946,0.868969
42,2013-S01,EG30,-32.913,36.935,-0.315000,-14.166000,-14.142000,-26.416000,12.455000,-32.712868,22.231740,0.101599,1.764970,41.574870,0.950159
43,2013-S01,EG30,-32.913,36.935,1.117000,24.453000,25.110000,50.139000,123.481000,-32.656100,62.315568,-0.087524,0.605047,70.154888,0.885615
44,2013-S01,EG30,-32.913,36.935,0.992000,24.038000,24.528000,49.352000,83.100000,-32.770550,61.885075,-0.128391,0.665732,32.649427,0.838101
45,2013-S01,EG30,-32.913,36.935,1.026000,23.908000,24.458000,47.267000,48.721000,-32.730514,61.750053,-0.107106,-1.068921,0.084718,0.861466
46,2013-S01,EG30,-32.913,36.935,1.092000,23.931000,24.651000,48.407000,98.204000,-32.662893,61.773777,-0.008928,-0.026462,47.152854,0.971149
47,2013-S01,EG30,-32.913,36.935,-0.678000,-20.701000,-20.964000,-38.795000,-41.544000,-32.845063,15.449212,0.068677,2.271536,-0.624701,0.888355
48,2013-S01,EG30,-32.913,36.935,-0.581000,-21.516000,-21.708000,-39.635000,-21.558000,-32.713915,14.603024,0.026456,3.064510,21.778448,0.838738
49,2013-S01,EG30,-32.913,36.935,-0.668000,-21.676000,-21.953000,-39.897000,-29.408000,-32.798167,14.437139,0.026579,3.118890,14.000601,0.837967
50,2013-S01,EG30,-32.913,36.935,1.069000,24.140000,24.800000,56.109000,105.839000,-32.694416,61.990777,-0.040266,6.908634,54.036414,0.936919
51,2013-S01,EG30,-32.913,36.935,1.102000,24.078000,24.712000,48.832000,41.168000,-32.657911,61.926343,-0.100729,0.091728,-7.522122,0.869485
52,2013-S01,EG30,-32.913,36.935,1.043000,23.653000,24.260000,47.779000,88.519000,-32.703527,61.485318,-0.073278,-0.082563,38.525881,0.898278
53,2013-S01,EG30,-32.913,36.935,-3.626000,-102.022000,-103.476000,-183.461000,-169.061000,-32.795363,-68.953697,0.305246,12.617851,30.569084,0.845353
54,2013-S01,EG30,-32.913,36.935,-3.527000,-101.722000,-103.021000,-184.737000,-154.863000,-32.704371,-68.642522,0.381693,10.360236,47.379274,0.931887
55,2013-S01,EG30,-32.913,36.935,0.046000,-3.637000,-3.544000,-5.540000,39.849000,-32.730486,33.160098,-0.017732,1.733349,47.264606,0.856961
56,2013-S01,EG30,-32.913,36.935,-0.368000,-16.106000,-16.186000,-28.872000,40.976000,-32.695386,20.218133,0.016587,3.182274,75.128262,0.848235
57,2013-S01,EG30,-32.913,36.935,0.101000,-3.297000,-3.121000,-4.311000,79.987000,-32.686061,33.512897,0.014645,2.287178,86.896471,0.894463
58,2013-S01,EG30out,-32.913,36.935,8.972000,100.969000,105.866000,203.877000,321.558000,-27.265428,141.724160,-3.069653,-6.811460,83.773160,-2.125210
59,2013-S01,EG30out,-32.913,36.935,8.984000,100.005000,105.010000,202.516000,515.158000,-27.218812,140.723439,-2.996593,-6.194686,244.660555,-2.047290
60,2013-S01,EG30out,-32.913,36.935,9.143000,99.444000,104.666000,201.072000,591.584000,-27.033986,140.140708,-2.970239,-6.374821,308.530613,-2.019313
61,2013-S01,EG17,-32.913,36.935,-3.490000,-102.119000,-103.403000,-168.248000,-188.097000,-32.650502,-69.054669,0.352237,31.706891,7.027375,0.897778
62,2013-S01,EG17,-32.913,36.935,-3.490000,-102.225000,-103.463000,-169.736000,-189.320000,-32.646366,-69.164693,0.401458,30.104379,5.743865,0.952187
63,2013-S01,EG17,-32.913,36.935,-3.529000,-102.131000,-103.439000,-168.190000,-173.897000,-32.690490,-69.067041,0.365580,31.806414,24.709650,0.912455
64,2013-S01,EG17,-32.913,36.935,-0.437000,-19.131000,-19.113000,-31.267000,-4.345000,-32.653842,17.078332,0.134315,6.890108,34.634750,0.968062
65,2013-S01,EG17,-32.913,36.935,-0.291000,-19.123000,-18.975000,-31.573000,-20.327000,-32.502692,17.086309,0.116178,6.555638,17.852047,0.948443
66,2013-S01,EG17,-32.913,36.935,-0.439000,-19.048000,-19.045000,-30.504000,-23.200000,-32.659023,17.164491,0.122548,7.512646,14.875064,0.955253
67,2013-S01,EG17,-32.913,36.935,1.334000,26.648000,27.554000,48.610000,65.481000,-32.511433,64.593537,-0.032608,-5.119679,10.418094,0.955618
68,2013-S01,EG17,-32.913,36.935,1.325000,26.046000,27.052000,49.599000,132.981000,-32.498717,63.968666,0.064181,-3.012479,75.678030,1.061186
69,2013-S01,EG17,-32.913,36.935,1.269000,26.532000,27.386000,55.307000,85.322000,-32.574610,64.473275,-0.018043,1.460469,29.533536,0.971161
