Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG17,9,-32.60,4.12,0.9630,,,0.0458,
EG30,21,-32.74,12.51,0.8938,,,0.0524,
HG,17,-31.82,-4.76,0.0266,,,0.0380,
EG30out,3,-27.17,140.86,-2.0639,0.0515,± 0.1031,0.0549,0.212
ETH-1,4,2.06,39.17,0.2481,0.0245,± 0.0490,0.0152,0.316
ETH-2,4,-10.18,22.05,0.2254,0.0233,± 0.0466,0.0141,0.539
ETH-3,4,1.68,39.65,0.6830,0.0237,± 0.0474,0.0111,1.000
ETH-4,4,-10.01,21.94,0.5110,0.0226,± 0.0452,0.0206,0.458
HGout,3,-28.68,107.53,-2.0765,0.0497,± 0.0994,0.0313,0.387
