Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
25G,20,-18.95,36.90,0.9196,,,0.0087,
HG,18,-8.22,26.32,0.0266,,,0.0086,
ETH-1,19,1.98,36.99,0.2143,0.0032,± 0.0064,0.0094,0.553
ETH-2,18,-10.14,19.90,0.2141,0.0029,± 0.0058,0.0104,0.863
ETH-3,15,1.67,37.37,0.6159,0.0033,± 0.0066,0.0095,1.000
ETH-4,12,-10.20,19.76,0.4560,0.0032,± 0.0063,0.0094,0.464
