UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
39,Session01,ETH-3,-4.433,25.215,6.155000,11.834000,17.783000,23.402000,12.655000,1.689208,37.346385,-0.270145,-0.396561,-16.936806,0.607467
40,Session01,ETH-3,-4.433,25.215,6.163000,11.927000,17.887000,23.599000,12.488000,1.694322,37.441813,-0.266534,-0.387904,-17.284758,0.611061
41,Session01,ETH-3,-4.433,25.215,6.143000,11.855000,17.810000,23.415000,11.247000,1.675653,37.367965,-0.251724,-0.425356,-18.331222,0.625856
42,Session01,ETH-3,-4.433,25.215,6.145000,11.826000,17.783000,23.314000,10.918000,1.678847,37.338198,-0.252123,-0.466710,-18.597405,0.625460
43,Session01,ETH-3,-4.433,25.215,6.150000,11.855000,17.789000,23.447000,11.520000,1.683111,37.367949,-0.279526,-0.394101,-18.073487,0.598101
44,Session01,ETH-3,-4.433,25.215,6.158000,11.884000,17.852000,23.478000,11.339000,1.690571,37.397694,-0.254016,-0.421120,-18.312800,0.623562
45,Session01,ETH-3,-4.433,25.215,6.151000,11.849000,17.813000,23.356000,10.812000,1.684396,37.361789,-0.251149,-0.471127,-18.750378,0.626429
46,Session01,ETH-3,-4.433,25.215,6.134000,11.827000,17.758000,23.356000,9.820000,1.667091,37.339250,-0.266376,-0.427662,-19.653830,0.611233
47,Session01,ETH-3,-4.433,25.215,6.147000,11.809000,17.756000,23.345000,11.857000,1.681601,37.320746,-0.264180,-0.402841,-17.655468,0.613425
48,Session01,ETH-3,-4.433,25.215,6.162000,11.904000,17.858000,23.542000,12.212000,1.694099,37.418211,-0.271651,-0.398129,-17.507719,0.605956
49,Session01,ETH-3,-4.433,25.215,6.070000,11.833000,17.696000,23.402000,12.309000,1.598686,37.345556,-0.267502,-0.394586,-17.182309,0.610115
50,Session01,ETH-3,-4.433,25.215,6.129000,11.873000,17.814000,23.498000,12.839000,1.660078,37.386472,-0.250929,-0.379854,-16.805578,0.626649
51,Session01,ETH-3,-4.433,25.215,6.148000,11.885000,17.839000,23.455000,11.566000,1.679880,37.398743,-0.257506,-0.445559,-18.083963,0.620079
52,Session01,ETH-3,-4.433,25.215,6.139000,11.836000,17.768000,23.442000,11.768000,1.672088,37.348475,-0.270421,-0.361444,-17.785057,0.607193
53,Session01,ETH-4,-4.433,25.215,-5.593000,-5.277000,-11.344000,-10.445000,6.520000,-10.197210,19.812324,-0.420512,0.081964,23.136878,0.460448
54,Session01,ETH-4,-4.433,25.215,-5.610000,-5.474000,-11.548000,-10.897000,3.750000,-10.208041,19.610179,-0.414514,0.021215,20.736929,0.466457
55,Session01,ETH-4,-4.433,25.215,-5.545000,-5.317000,-11.332000,-10.617000,6.196000,-10.144593,19.771161,-0.418641,-0.011443,22.835729,0.462314
56,Session01,ETH-4,-4.433,25.215,-5.613000,-5.435000,-11.526000,-10.792000,-3.368000,-10.212679,19.650212,-0.427692,0.048939,13.423634,0.453298
57,Session01,ETH-4,-4.433,25.215,-5.578000,-5.311000,-11.387000,-10.569000,-4.666000,-10.179972,19.777395,-0.445954,0.025006,11.817896,0.435052
58,Session01,ETH-4,-4.433,25.215,-5.685000,-5.492000,-11.663000,-10.910000,-5.072000,-10.287280,19.591878,-0.435243,0.044270,11.882959,0.445774
59,Session01,ETH-4,-4.433,25.215,-5.604000,-5.237000,-11.323000,-10.391000,-4.027000,-10.210407,19.853402,-0.427388,0.056108,12.347697,0.453580
60,Session01,ETH-4,-4.433,25.215,-5.603000,-5.412000,-11.476000,-10.720000,-2.898000,-10.202875,19.673794,-0.410228,0.075473,13.844614,0.470728
61,Session01,ETH-4,-4.433,25.215,-5.599000,-5.377000,-11.455000,-10.656000,-3.614000,-10.199907,19.709706,-0.427724,0.069784,13.042196,0.453259
62,Session01,ETH-4,-4.433,25.215,-5.610000,-5.352000,-11.435000,-10.617000,-3.816000,-10.212550,19.735390,-0.420793,0.058933,12.798737,0.460176
63,Session01,ETH-4,-4.433,25.215,-5.591000,-5.013000,-11.089000,-9.933000,-3.478000,-10.204834,20.083267,-0.425580,0.068503,12.443579,0.455360
64,Session01,ETH-4,-4.433,25.215,-5.586000,-5.217000,-11.283000,-10.395000,-5.515000,-10.191969,19.873887,-0.425373,0.011854,10.775798,0.455587
65,Session01,HG,-4.433,25.215,6.405000,10.935000,16.569000,21.284000,-32.069000,1.988517,36.423148,-0.845677,-0.690349,-58.960265,0.033002
66,Session01,HG,-4.433,25.215,-0.029000,-1.355000,-2.208000,-3.004000,-4.172000,-4.414184,23.824685,-0.847037,-0.296643,-1.484168,0.033644
67,Session01,HG,-4.433,25.215,-16.788000,-7.051000,-24.959000,-14.207000,22.843000,-22.058656,18.017436,-0.849181,-0.157077,56.054308,0.033926
68,Session01,HG,-4.433,25.215,6.479000,13.048000,18.732000,25.498000,-36.393000,1.989904,38.591575,-0.848905,-0.748547,-67.073294,0.029550
69,Session01,HG,-4.433,25.215,0.068000,-1.383000,-2.132000,-3.045000,0.567000,-4.309808,23.795724,-0.843371,-0.281694,3.219209,0.037296
70,Session01,HG,-4.433,25.215,0.040000,-0.450000,-1.250000,-1.178000,1.235000,-4.374046,24.753339,-0.849153,-0.278457,2.078271,0.031430
71,Session01,HG,-4.433,25.215,6.477000,11.142000,16.840000,21.772000,11.818000,2.057634,36.635427,-0.854223,-0.622158,-16.763207,0.024442
72,Session01,HG,-4.433,25.215,-17.157000,-7.327000,-25.621000,-14.704000,-11.493000,-22.441576,17.735020,-0.867661,-0.105380,21.569939,0.015548
73,Session01,HG,-4.433,25.215,-0.057000,-1.381000,-2.280000,-3.048000,-0.093000,-4.443056,23.798065,-0.864700,-0.288708,2.687057,0.016018
74,Session01,HG,-4.433,25.215,6.436000,10.537000,16.194000,20.479000,9.504000,2.036141,36.014603,-0.859239,-0.691337,-17.814724,0.019502
75,Session01,HG,-4.433,25.215,-17.041000,-7.336000,-25.511000,-14.722000,-9.538000,-22.317658,17.725515,-0.867673,-0.105515,23.479707,0.015524
76,Session01,HG,-4.433,25.215,-0.025000,-1.430000,-2.294000,-3.092000,-0.360000,-4.407156,23.747702,-0.863501,-0.234719,2.481795,0.017216
77,Session01,HG,-4.433,25.215,6.526000,13.016000,18.748000,25.439000,11.045000,2.041150,38.558624,-0.850314,-0.742908,-21.133621,0.028141
78,Session01,HG,-4.433,25.215,-16.779000,-7.160000,-25.075000,-14.322000,-9.139000,-22.045036,17.905546,-0.869682,-0.054192,23.244535,0.013472
79,Session01,HG,-4.433,25.215,-0.023000,-0.956000,-1.813000,-2.237000,0.025000,-4.422507,24.234170,-0.850179,-0.326542,1.930926,0.030466
80,Session01,HG,-4.433,25.215,-17.144000,-7.333000,-25.606000,-14.718000,-10.895000,-22.427504,17.728832,-0.859984,-0.107500,22.185656,0.023211
81,Session01,HG,-4.433,25.215,6.405000,10.776000,16.419000,21.002000,10.802000,1.994348,36.259964,-0.838599,-0.651951,-16.976507,0.040085
82,Session01,HG,-4.433,25.215,-17.041000,-7.012000,-25.178000,-14.136000,-10.796000,-22.329642,18.058046,-0.846799,-0.163610,21.524647,0.036328
83,Session01,25G,-4.433,25.215,-33.082000,31.647000,-4.071000,63.319000,-31.465000,-40.836443,57.773118,0.040824,-0.917887,-55.638846,0.920257
84,Session01,25G,-4.433,25.215,0.324000,7.308000,7.573000,14.553000,-21.907000,-4.356988,32.714836,0.051506,-0.114732,-36.135059,0.929681
85,Session01,25G,-4.433,25.215,-33.071000,31.474000,-4.205000,62.989000,-37.172000,-40.818439,57.595529,0.059230,-0.892892,-60.905725,0.938647
86,Session01,25G,-4.433,25.215,-33.887000,7.522000,-27.787000,14.859000,14.097000,-40.812875,33.013917,0.044354,-0.238305,36.726807,0.926307
87,Session01,25G,-4.433,25.215,1.178000,31.658000,32.396000,63.381000,24.939000,-4.336608,57.703843,0.028899,-0.880637,-37.151785,0.904467
88,Session01,25G,-4.433,25.215,-33.963000,7.113000,-28.257000,14.110000,-5.181000,-40.878820,32.594312,0.040967,-0.164569,17.915314,0.922976
89,Session01,25G,-4.433,25.215,1.231000,32.031000,32.833000,64.166000,25.285000,-4.293690,58.086540,0.042154,-0.865688,-37.564841,0.917654
90,Session01,25G,-4.433,25.215,-0.026000,-3.510000,-3.435000,-6.880000,-1.246000,-4.331459,21.612975,0.043024,0.128579,5.706973,0.922385
91,Session01,25G,-4.433,25.215,-0.029000,-3.327000,-3.254000,-6.552000,0.371000,-4.341412,21.800797,0.047180,0.091537,6.975004,0.926515
92,Session01,25G,-4.433,25.215,-33.907000,7.537000,-27.805000,14.936000,-5.462000,-40.834734,33.029358,0.032600,-0.192222,16.724117,0.914573
93,Session01,25G,-4.433,25.215,-0.008000,-4.395000,-4.298000,-8.642000,-2.056000,-4.279599,20.704648,0.031714,0.129821,6.628208,0.911186
94,Session01,25G,-4.433,25.215,0.354000,6.896000,7.193000,13.570000,5.821000,-4.309890,32.291924,0.045538,-0.265883,-8.045021,0.923763
95,Session01,25G,-4.433,25.215,-0.030000,-3.448000,-3.380000,-6.768000,-1.402000,-4.338010,21.676616,0.041166,0.116914,5.431234,0.920524
96,Session01,25G,-4.433,25.215,-33.743000,7.249000,-27.910000,14.311000,-6.192000,-40.649431,32.733386,0.030096,-0.236430,16.363903,0.912085
97,Session01,25G,-4.433,25.215,0.984000,31.590000,32.123000,63.110000,21.002000,-4.540824,57.634509,0.029248,-1.003571,-40.527728,0.904845
98,Session01,25G,-4.433,25.215,-0.029000,-3.684000,-3.608000,-7.259000,-0.029000,-4.328231,21.434404,0.044206,0.096133,7.281282,0.923584
99,Session01,25G,-4.433,25.215,-33.804000,7.974000,-27.287000,15.802000,-5.139000,-40.741049,33.477638,0.029123,-0.206600,16.072958,0.911047
100,Session01,25G,-4.433,25.215,1.283000,31.985000,32.840000,64.080000,23.737000,-4.236619,58.039207,0.039135,-0.857366,-38.987046,0.914639
101,Session01,25G,-4.433,25.215,-0.492000,-3.968000,-4.356000,-7.800000,-0.608000,-4.811018,21.144000,0.051259,0.121209,7.759370,0.930706
102,Session01,25G,-4.433,25.215,-33.902000,7.455000,-27.876000,14.744000,-6.568000,-40.826395,32.945185,0.034179,-0.218629,15.750138,0.916158
