Sample,Δ47 (70 ºC acid),Δ47 (90 ºC acid),Difference
ETH-4,0.4490 ± 0.0016,0.4504 ± 0.0015,0.0015 ± 0.0022
IAEA-C1,0.2996 ± 0.0020,0.3004 ± 0.0019,0.0007 ± 0.0027
IAEA-C2,0.6363 ± 0.0024,0.6422 ± 0.0023,0.0059 ± 0.0033
MERCK,0.5120 ± 0.0036,0.5121 ± 0.0036,0.0000 ± 0.0051
average (all samples),,,0.0020 ± 0.0018
