UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
396,Session1,ETH-4,-3.591,25.207,-6.419117,-5.571988,-12.594211,-14.841958,-0.177982,-10.229504,19.503383,-0.536834,-3.770995,17.821834,0.483305
405,Session1,eEG,-3.591,25.207,-6.011822,26.241909,19.588549,70.431072,-1.286762,-10.962304,52.153681,0.158504,16.387166,-44.720370,0.888578
413,Session1,Carrara,-3.591,25.207,5.706156,11.883476,17.237377,31.615680,-1.271325,2.056353,37.389963,-0.394112,7.527577,-30.088291,0.325723
421,Session1,MERCK,-3.591,25.207,-36.110819,-2.326254,-40.177135,-6.143653,0.348546,-42.007589,22.903169,-0.751588,-1.503876,45.156056,0.541033
429,Session1,ETH-1,-3.591,25.207,5.681342,11.555881,16.753167,30.489201,-0.767431,2.041906,37.053808,-0.526358,7.079376,-28.955733,0.190214
437,Session1,ETH-2,-3.591,25.207,-6.302373,-5.152204,-12.330645,-14.044558,0.610323,-10.120541,19.933943,-0.805908,-3.805871,17.652466,0.194646
445,Session1,ETH-3,-3.591,25.207,5.274593,11.640479,16.850518,31.071860,-1.191776,1.605115,37.141579,-0.095649,7.480273,-29.109173,0.646890
453,Session1,ETH-4,-3.591,25.207,-6.364060,-5.442686,-12.410048,-14.463837,-0.386415,-10.175580,19.635960,-0.535334,-3.647746,17.289615,0.482990
461,Session1,TV04,-3.591,25.207,4.875248,5.035803,9.775942,13.085415,-0.699229,1.421829,30.364094,-0.227267,2.958613,-15.629365,0.580366
469,Session1,Carrara,-3.591,25.207,5.714913,12.795367,18.142421,33.789792,-0.677295,2.032270,38.325823,-0.399413,7.833621,-31.236764,0.310708
477,Session1,BOC,-3.591,25.207,-5.916580,9.047447,1.906427,23.537688,0.073422,-10.232142,34.506364,-0.826746,5.265164,-11.234923,0.024918
486,Session1,MERCK,-3.591,25.207,-36.052639,-2.253107,-40.051798,-5.912325,0.451513,-41.948256,22.978109,-0.755387,-1.417900,45.045771,0.535697
494,Session1,ETH-1,-3.591,25.207,5.627886,11.345442,16.521793,29.998339,-1.264684,1.992625,36.837958,-0.494567,7.018611,-28.987056,0.226395
502,Session1,ETH-2,-3.591,25.207,-6.330150,-5.320652,-12.499787,-14.119625,0.071900,-10.143934,19.761127,-0.781876,-3.544304,17.473679,0.221937
510,Session1,ETH-3,-3.591,25.207,5.263298,11.902563,17.109842,31.638462,-1.697387,1.583465,37.410585,-0.083745,7.511813,-30.082880,0.656852
518,Session1,ETH-4,-3.591,25.207,-6.856552,-2.681428,-10.198217,-6.633928,-2.238573,-10.802670,22.471010,-0.512412,-1.285210,10.421739,0.484419
536,Session1,EG,-3.591,25.207,-5.678183,26.257383,20.011249,70.374428,-1.418310,-10.607131,52.168779,0.211739,16.302737,-45.216481,0.940765
546,Session1,TV04,-3.591,25.207,4.849967,5.009207,9.717358,13.221342,-0.390101,1.395851,30.336857,-0.233313,3.146274,-15.247250,0.574549
554,Session1,MERCK,-3.591,25.207,-36.095218,-2.229738,-40.055166,-5.814835,0.232271,-41.994517,23.002192,-0.736293,-1.366749,44.818015,0.556021
562,Session1,ETH-1,-3.591,25.207,5.706289,11.543587,16.767582,30.401104,-0.139987,2.068955,37.041133,-0.525822,7.017757,-28.348466,0.190635
570,Session1,ETH-2,-3.591,25.207,-6.310061,-5.204060,-12.376721,-14.046375,0.358206,-10.126822,19.880740,-0.793342,-3.703845,17.508660,0.208478
578,Session1,ETH-3,-3.591,25.207,5.360172,11.786294,17.072626,31.186002,-0.731352,1.691017,37.291031,-0.106766,7.301403,-29.024772,0.632774
586,Session1,ETH-4,-3.591,25.207,-6.355682,-5.380554,-12.343015,-14.353808,0.443579,-10.168943,19.699708,-0.537575,-3.660999,18.000165,0.479914
