UID,Session,Sample,d45,d46,d47,TimeTag
490,4,102-GC-AZ01,10.4260,-6.3250,4.2520,43306.3431
494,4,EG30,5.1800,13.5270,18.8040,43306.7181
498,4,HG1000,6.4050,20.7160,26.3800,43307.6125
499,4,ETH-1,12.3020,5.8530,17.9420,43307.7069
506,4,EG30,4.5550,-4.4860,0.3090,43311.4292
507,4,ETH-3,12.0060,6.2770,18.4430,43311.5236
510,4,HG1000,5.6620,-0.4290,4.6080,43312.3396
515,4,ETH-4,0.4160,-10.5750,-10.4170,43313.4250
517,4,HG1000,6.3890,18.6790,24.3630,43313.6139
521,4,EG30,5.1800,13.4030,18.6760,43314.6139
525,4,NBS-19,12.2030,5.9810,18.0560,43315.6306
530,4,HG1000,6.3900,19.0430,24.7220,43318.6250
532,4,EG30,4.5650,-4.3440,0.4390,43319.4313
535,4,ETH-2,0.2490,-10.7610,-10.9940,43320.3507
537,4,EG30,5.1820,13.4870,18.7840,43320.5792
544,4,HG1000,5.6310,-1.7500,3.3060,43322.5542
547,4,102-GC-AZ01,10.3390,-6.3460,4.1370,43325.4306
549,4,EG30,4.5590,-4.3860,0.4270,43325.6243
553,4,ETH-1,12.2900,5.8580,17.9130,43326.6306
554,4,EG30,5.1840,13.4420,18.7680,43327.4063
561,4,ETH-3,11.9870,6.2670,18.4320,43328.5389
562,4,HG1000,5.6450,-1.1460,3.8750,43328.6333
567,4,EG30,4.5690,-4.2060,0.5690,43332.4417
569,4,ETH-4,0.2320,-10.8070,-10.8300,43336.3736
572,4,EG30,4.5950,-4.2090,0.6020,43336.7333
574,4,HG1000,6.4720,20.3570,26.1360,43339.5132
576,4,NBS-19,12.2370,6.0060,18.1160,43340.3347
577,4,EG30,5.2000,13.1980,18.4980,43340.4424
584,4,EG30,4.5880,-4.2960,0.5050,43341.7361
588,4,HG1000,5.7140,-0.3870,4.7240,43342.6722
592,4,102-GC-AZ01,10.4430,-6.2800,4.3070,43343.6590
593,4,HG1000,6.4000,19.0420,24.6830,43343.7583
595,4,EG30,5.2150,13.4710,18.8070,43348.3292
596,4,OLHG,4.7500,-4.4980,-0.3580,43348.4257
597,4,OLHG,5.3570,13.3830,18.0000,43348.5319
599,4,EG30,5.2300,13.7490,19.1000,43349.4569
603,5,EG30,4.5840,-4.2060,0.6110,43355.5146
604,5,EG30,5.1870,13.5650,18.8340,43355.6417
605,5,EG30,5.1800,13.5750,18.8570,43356.3410
606,5,EG30,4.5800,-4.1690,0.6610,43356.4333
607,5,OLHG,5.3030,13.3160,17.8910,43356.5417
608,5,OLHG,4.7180,-4.2190,-0.1370,43356.6528
609,5,HG1000,6.3450,18.8050,24.4140,43357.3583
610,5,EG30,4.5770,-4.1030,0.7160,43357.5104
611,5,EG30,5.1760,13.5630,18.8550,43357.6278
612,5,HG1000,5.7110,0.3350,5.3970,43360.3306
613,5,HG1000,6.3980,19.2760,24.9210,43360.4271
614,5,EG30,4.5730,-4.2840,0.5320,43360.5188
615,5,HG1000,0.0090,-1.3710,-2.1960,43360.6181
616,5,HG1000,6.4410,20.6060,26.2810,43360.7111
617,5,EG30,5.1790,13.4930,18.7930,43361.3229
618,5,HG1000,-0.0390,-1.5540,-2.4110,43361.4653
619,5,EG30,4.5770,-4.1870,0.6140,43361.5583
620,5,EG30,5.1750,13.4790,18.7820,43361.6507
621,5,ETH-3,12.0050,6.2740,18.4770,43362.3306
622,5,ETH-4,0.2070,-10.9080,-10.9380,43362.4236
626,5,EG30,4.5560,-4.1480,0.6160,43383.3417
627,5,EG30,5.1870,13.7490,19.0610,43383.4403
628,5,HG1000,-0.0720,-1.4860,-2.4170,43383.5438
629,5,HG1000,6.4130,19.7180,25.3710,43383.6403
633,5,EG30,5.2050,13.7170,19.0200,43384.5785
634,5,102-GC-AZ01,10.3960,-6.5250,3.9950,43384.6819
635,5,EG30,4.5860,-4.0250,0.7850,43385.4507
642,5,HG1000,-0.0440,-1.2120,-2.0830,43388.5396
644,5,ETH-2,0.2880,-10.7440,-10.9870,43388.7319
649,5,EG30,5.1720,13.5860,18.8470,43389.7375
653,5,ETH-1,12.2810,5.8670,17.9300,43390.7361
654,5,HG1000,0.0600,-1.0890,-1.8310,43391.3556
661,5,EG30,4.5650,-4.1580,0.6460,43392.6410
664,5,NBS-19,12.2260,6.0040,18.1170,43393.6764
665,5,EG30,5.1790,13.5070,18.7920,43393.8139
666,5,EG30,4.5790,-4.0580,0.7440,43395.6847
671,5,EG30,5.1830,13.5870,18.8850,43402.3757
672,5,EG30,4.5690,-3.9770,0.8730,43402.5479
673,5,HG1000,-0.0020,-0.9460,-1.7850,43402.6438
677,5,EG30,5.1720,13.6060,18.8830,43403.5653
678,5,EG30,4.5990,-3.9810,0.8770,43404.4708
680,5,HG1000,1.0020,27.1630,26.9810,43404.6646
681,5,HG1000,0.0770,-1.6460,-2.3840,43404.7618
682,5,EG30,5.1850,13.6590,18.9480,43405.3736
684,5,ETH-3,11.9850,6.3310,18.4620,43405.5715
690,5,EG30,4.6050,-3.9650,0.8550,43406.7000
693,5,HG1000,0.0010,-1.4800,-2.3000,43410.3708
696,5,ETH-2,0.2390,-10.7580,-11.0510,43410.7160
702,5,HG1000,0.9600,26.6080,26.4380,43413.4688
703,5,EG30,5.1790,13.5820,18.8600,43413.5667
704,5,EG30,4.5580,-3.8510,0.9160,43418.5389
706,5,HG1000,5.6840,-0.4230,4.6530,43423.5028
710,5,HG1000,0.9380,26.5020,26.2890,43424.6653
712,5,EG30,5.1910,13.6030,18.8950,43425.4785
713,5,ETH-4,0.2170,-10.9340,-11.0050,43430.5389
714,5,EG30,4.5740,-3.8810,0.8880,43430.6375
715,5,EG30,4.5570,-3.6020,1.1530,43439.5556
717,5,102-GC-AZ01,10.4630,-6.0380,4.5640,43445.6833
720,5,HG1000,-0.0330,-0.7010,-1.5990,43448.6750
726,5,EG30,5.1830,13.8810,19.1570,43453.6229
728,5,ETH-1,12.3150,6.0260,18.1260,43453.8396
730,5,HG1000,0.8210,27.1970,26.8050,43455.5354
733,5,HG1000,-0.0490,-0.6360,-1.5310,43458.8139
736,5,ETH-3,11.9840,6.4940,18.6460,43460.8521
737,5,HG1000,0.9760,27.3420,27.1320,43460.9514
741,5,EG30,4.5620,-3.6290,1.1390,43462.9243
742,5,ETH-2,0.2350,-10.5130,-10.7830,43464.7083
744,5,HG1000,0.0170,-1.4860,-2.3100,43464.9222
747,5,HG1000,0.9540,25.7300,25.5060,43465.7889
750,5,EG30,5.1390,13.7870,19.0000,43467.7056
753,5,EG30,4.5940,-3.4380,1.3550,43468.6660
755,6,EG30,5.1860,13.6400,18.9220,43474.5493
756,6,EG30,4.5830,-3.6430,1.1430,43476.5243
757,6,HG1000,-0.0030,-1.4660,-2.3110,43479.5271
758,6,ETH-4,0.2380,-10.4520,-10.5000,43480.4313
761,6,EG30,5.1880,13.5870,18.8730,43483.5201
763,6,EG30,4.6020,-3.5750,1.2260,43486.7535
767,6,ETH-3,12.0160,6.3280,18.5000,43490.6826
768,6,102-GC-AZ01,10.4100,-6.1290,4.4150,43491.6924
769,6,HG1000,0.9600,26.1750,25.9620,43491.8035
772,6,ETH-3,12.0280,6.5010,18.6800,43492.7201
773,6,EG30,5.1950,13.6410,18.9550,43492.8201
775,6,EG30,5.1970,13.7290,19.0080,43500.5729
776,6,HG1000,0.9570,26.7050,26.4700,43501.6271
777,6,ETH-4,0.1990,-10.5830,-10.6880,43501.8139
780,6,HG1000,5.6230,-0.0980,4.9010,43502.8250
781,6,EG30,5.1930,13.7330,19.0630,43504.6139
782,6,HG1000,0.9590,27.1700,26.9500,43506.6194
783,6,ETH-1,12.3110,5.8760,17.9520,43506.7771
786,6,EG30,4.5790,-3.5590,1.3290,43511.5250
788,6,HG1000,5.7060,-0.5900,4.4590,43513.9222
790,6,102-GC-AZ01,10.4750,-6.3920,4.2100,43516.5208
795,6,EG30,5.1900,13.7260,18.9780,43521.8201
797,6,HG1000,5.6910,0.4020,5.4280,43523.5049
803,6,EG30,4.5770,-3.3550,1.4390,43539.5014
804,6,ETH-2,0.4640,-10.4380,-10.4750,43539.6389
808,6,HG1000,1.0120,27.6930,27.4890,43544.5181
812,6,EG30,5.1540,13.9740,19.2720,43546.5465
813,6,ETH-1,12.2810,6.0770,18.1660,43548.6326
815,6,EG30,4.5700,-3.4630,1.3310,43549.5188
817,6,HG1000,1.0270,27.8090,27.6210,43553.5576
818,6,EG30,5.1870,13.6650,18.8880,43556.5514
819,6,HG1000,0.9470,26.9070,26.6990,43558.5563
820,6,NBS-19,12.2360,5.8620,17.9540,43565.5299
822,6,EG30,4.5740,-3.3930,1.3890,43567.5181
823,6,HG1000,5.5450,-0.2780,4.5810,43572.7493
826,6,EG30,5.1710,13.9450,19.1940,43587.6139
828,6,EG30,4.5760,-3.2840,1.4510,43593.5792
833,6,EG30,5.1450,13.9400,19.1860,43633.4896
834,6,EG30,4.5830,-3.2120,1.5570,43633.6153
835,6,HG1000,1.0390,28.5040,28.3650,43634.5035
836,6,ETH-1,12.3000,6.1230,18.1890,43634.6472
837,6,EG30,4.6160,-3.3070,1.5150,43635.4097
841,6,ETH-4,0.2140,-10.7850,-10.8730,43635.7986
843,6,EG30,5.1970,13.9760,19.2350,43636.5854
846,6,HG1000,5.6980,0.1270,5.1670,43637.4014
850,6,ETH-3,11.9320,6.7340,18.8250,43638.4299
853,6,EG30,4.6080,-3.2210,1.5740,43639.4604
