Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2019,32,74,-11.585,36.146,0.2118,1.1244,0.0140,0.976 ± 0.005,7.245 ± 0.049,-0.924 ± 0.003
2020,24,54,-10.583,30.650,0.1226,0.4267,0.0135,0.822 ± 0.005,8.447 ± 0.054,-0.785 ± 0.003
