Session,UID,Sample,d45,d46,d47
2015-03 - 2018-05,76761,EG4,-23.82220,0.76437,-23.80020
2015-03 - 2018-05,76762,EG4,-23.82230,0.76437,-23.79100
2015-03 - 2018-05,76768,EG4,-23.79950,0.92220,-23.60720
2015-03 - 2018-05,76769,EG4,-23.79970,0.92021,-23.61450
2015-03 - 2018-05,76775,HG1000,-25.26650,-20.81240,-46.84000
2015-03 - 2018-05,76776,HG1000,-25.26620,-20.81010,-46.83180
2015-03 - 2018-05,76782,EG60,0.98050,29.11670,29.47150
2015-03 - 2018-05,76783,EG60,0.98037,29.11710,29.47190
2015-03 - 2018-05,76830,ETH-3,11.50830,3.88160,15.38540
2015-03 - 2018-05,77090,ETH-4,-0.27488,-13.13330,-13.63350
2015-03 - 2018-05,77359,ETH-3,11.59670,4.06400,15.66020
2015-03 - 2018-05,77366,ETH-4,-0.25742,-13.05310,-13.56480
2015-03 - 2018-05,77405,ETH-3,11.61700,3.80820,15.45260
2015-03 - 2018-05,77412,ETH-3,11.61190,3.85240,15.54300
2015-03 - 2018-05,77419,ETH-3,11.60320,3.84550,15.49000
2015-03 - 2018-05,77450,ETH-1,11.87030,3.42090,14.98220
2015-03 - 2018-05,77573,ETH-3,11.45730,4.01330,15.50800
2015-03 - 2018-05,77719,ETH-2,-0.20730,-12.93110,-13.60800
2015-03 - 2018-05,77792,ETH-3,11.54280,3.97520,15.55540
2015-03 - 2018-05,78068,ETH-4,-0.31152,-13.11780,-13.68150
2015-03 - 2018-05,78089,ETH-4,-0.33223,-13.11790,-13.64650
2015-03 - 2018-05,78235,ETH-2,-0.18115,-13.16380,-13.78720
2015-03 - 2018-05,78340,ETH-3,11.51960,3.81320,15.40200
2015-03 - 2018-05,78998,HG1000,-0.75288,-0.63502,-2.31360
2015-03 - 2018-05,79019,HG1000,-25.15410,-21.10160,-46.98960
2015-03 - 2018-05,79412,HG1000,-0.09625,-2.12830,-3.07530
2015-03 - 2018-05,79419,EG4,-22.83360,37.91510,12.87080
2015-03 - 2018-05,79426,HG1000,-25.27900,-21.15110,-47.17750
2015-03 - 2018-05,79508,EG60,0.85049,29.27000,29.49890
2015-03 - 2018-05,79543,ETH-3,11.40630,4.16410,15.56800
2015-03 - 2018-05,79558,EG60,-24.23390,-7.38640,-32.21520
2015-03 - 2018-05,79671,ETH-4,-0.31374,-13.04070,-13.62150
2015-03 - 2018-05,79699,HG1000,-0.91857,-2.38660,-4.16610
2015-03 - 2018-05,79728,ETH-1,11.80740,3.66340,15.08080
2015-03 - 2018-05,80355,ETH-3,11.50210,4.11940,15.65930
2015-03 - 2018-05,80556,ETH-4,-0.21501,-12.67400,-13.14350
2015-03 - 2018-05,80614,ETH-1,11.70390,3.77280,15.11030
2015-03 - 2018-05,80721,EG60,-23.21770,29.29680,4.01400
2015-03 - 2018-05,80779,EG4,-22.87080,38.62040,13.54500
2015-03 - 2018-05,80835,EG23,-23.98790,-2.28580,-26.94260
2015-03 - 2018-05,80969,EG4,1.51630,38.84850,39.86520
2015-03 - 2018-05,81057,EG4,1.55950,38.92300,40.02690
2015-03 - 2018-05,81168,EG60,0.90967,29.35900,29.66230
2015-03 - 2018-05,81399,ETH-3,11.58220,3.90340,15.53770
2015-03 - 2018-05,81471,ETH-4,-0.22150,-13.10490,-13.58290
2015-03 - 2018-05,81528,EG4,-25.93390,-39.31630,-64.22440
2015-03 - 2018-05,81570,HG1000,-25.24110,-21.55550,-47.50140
2015-03 - 2018-05,81577,EG4,-26.18430,-39.37370,-64.58600
2015-03 - 2018-05,81584,EG60,-26.23280,-48.31090,-73.39180
2015-03 - 2018-05,81655,ETH-4,-0.23642,-13.10760,-13.60180
2015-03 - 2018-05,81708,EG60,-1.37740,-47.60780,-48.34290
2015-03 - 2018-05,81757,ETH-1,11.83060,3.61870,15.05150
2015-03 - 2018-05,82394,EG23,0.11617,-1.79630,-1.64850
2015-03 - 2018-05,82401,EG60,-23.26250,28.46730,3.15560
2015-03 - 2018-05,82688,HG1000,-24.99290,-21.11000,-46.83000
2015-03 - 2018-05,82695,EG4,-24.02300,1.63830,-23.12100
2015-03 - 2018-05,82702,ETH-3,11.40430,3.93800,15.40960
2015-03 - 2018-05,82867,ETH-4,-0.32765,-13.09250,-13.68020
2015-03 - 2018-05,83418,HG1000,0.07233,-1.36000,-2.14410
2015-03 - 2018-05,83432,ETH-1,11.92110,3.66850,15.23730
2015-03 - 2018-05,83439,ETH-3,11.64060,4.13370,15.79830
2015-03 - 2018-05,83498,ETH-4,-0.18070,-12.88530,-13.30210
2015-03 - 2018-05,83505,EG60,-0.29982,-6.61640,-6.94070
2015-03 - 2018-05,83531,EG4,-25.29300,-38.91480,-63.23090
2015-03 - 2018-05,83532,EG4,-25.29190,-38.90220,-63.21450
2015-03 - 2018-05,83545,ETH-2,-0.12257,-12.64400,-13.18460
2015-03 - 2018-05,83639,ETH-1,11.86060,3.76890,15.26680
