Session,UID,Sample,d45,d46,d47
2015-03 - 2018-05,94001,ETH-1,11.79060,3.89850,15.28380
2015-03 - 2018-05,94226,ETH-3,11.54160,4.16460,15.77430
2015-03 - 2018-05,100412,HG1000,0.29732,-0.59339,-1.16670
2015-03 - 2018-05,100428,EG60,-0.20515,-7.52750,-7.75490
2015-03 - 2018-05,101554,ETH-1,11.84730,3.82450,15.28430
2015-03 - 2018-05,101586,ETH-2,-0.16840,-12.79530,-13.43030
2015-03 - 2018-05,102246,EG23,1.57190,35.13180,36.17540
2015-03 - 2018-05,102370,HG1000,1.39540,30.38450,30.40610
2015-03 - 2018-05,102410,ETH-2,-0.17041,-12.65040,-13.29360
2015-03 - 2018-05,102510,ETH-1,11.84590,3.77220,15.22870
2015-03 - 2018-05,102545,HG1000,-24.68100,-19.52170,-44.99430
2015-03 - 2018-05,103607,HG1000,-0.17947,-2.14220,-3.14240
2015-03 - 2018-05,103776,ETH-2,-0.30411,-12.61390,-13.39780
2015-03 - 2018-05,105316,ETH-4,-0.17302,-12.75310,-13.16350
2015-03 - 2018-05,105551,EG60,-25.59620,-47.91250,-72.40320
2015-03 - 2018-05,105581,ETH-2,-0.22550,-12.80030,-13.54030
2015-03 - 2018-05,105589,ETH-2,-0.22370,-12.79200,-13.52350
2015-03 - 2018-05,105730,ETH-3,11.45140,4.13670,15.59390
2015-03 - 2018-05,105787,EG4,1.02910,39.37920,39.89970
2015-03 - 2018-05,105845,ETH-4,-0.30968,-12.81460,-13.38530
2015-03 - 2018-05,105886,ETH-1,11.80690,3.85970,15.26490
2015-03 - 2018-05,106004,ETH-2,-0.04241,-12.16790,-12.65810
2015-03 - 2018-05,106294,ETH-4,-0.33521,-13.01300,-13.62640
2015-03 - 2018-05,106365,ETH-1,11.75580,3.73500,15.07440
2015-03 - 2018-05,106430,EG4,0.37349,2.41920,2.81760
2015-03 - 2018-05,106996,ETH-2,-0.21530,-12.87280,-13.60850
2015-03 - 2018-05,107004,ETH-2,-0.21052,-12.81420,-13.52900
2015-03 - 2018-05,107012,ETH-2,-0.21900,-12.86950,-13.55590
2015-03 - 2018-05,107020,ETH-2,-0.21352,-12.82760,-13.51860
2015-03 - 2018-05,107082,ETH-1,11.79950,3.68880,15.08570
2015-03 - 2018-05,107141,ETH-2,-0.21856,-12.80870,-13.44470
2015-03 - 2018-05,107171,ETH-4,-0.29943,-13.05170,-13.54730
2015-03 - 2018-05,107399,IAEA-C1,12.17870,3.71610,15.60070
2015-03 - 2018-05,107407,IAEA-C2,1.95080,-2.98070,-1.18660
2015-03 - 2018-05,107423,ETH-1,11.55240,3.66020,14.84950
2015-03 - 2018-05,107512,ETH-2,-0.26999,-12.72210,-13.49780
2015-03 - 2018-05,107573,IAEA-C2,1.93060,-2.98990,-1.26030
2015-03 - 2018-05,107589,MERCK,-29.99810,-9.77750,-40.61880
2015-03 - 2018-05,107764,ETH-4,-0.29871,-12.96510,-13.49890
2015-03 - 2018-05,107838,ETH-1,11.81860,3.69420,15.18460
2015-03 - 2018-05,108149,HG1000,-0.06893,-2.09710,-3.04180
2015-03 - 2018-05,108157,EG4,-25.14620,-38.68010,-62.88020
2015-03 - 2018-05,108165,EG60,0.04087,-7.74390,-7.72170
2015-03 - 2018-05,108173,EG23,0.28704,-1.55900,-1.25790
2015-03 - 2018-05,108229,ETH-3,11.53030,4.28670,15.86770
2015-03 - 2018-05,108326,ETH-4,-0.32042,-12.84660,-13.45310
2015-03 - 2018-05,108506,IAEA-C2,1.92870,-2.86750,-1.12680
2015-03 - 2018-05,108514,ETH-1,11.75250,3.86130,15.26110
2015-03 - 2018-05,108522,MERCK,-30.26380,-9.70850,-40.81570
2015-03 - 2018-05,108569,IAEA-C2,1.90470,-2.83390,-1.12300
2015-03 - 2018-05,108577,MERCK,-30.27820,-9.69910,-40.78280
2015-03 - 2018-05,108593,IAEA-C1,12.13540,3.83040,15.74690
2015-03 - 2018-05,108601,IAEA-C2,1.91490,-2.80340,-1.03570
2015-03 - 2018-05,108609,MERCK,-30.28160,-9.70970,-40.84680
2015-03 - 2018-05,108657,ETH-2,-0.29700,-12.57650,-13.37440
2015-03 - 2018-05,108741,ETH-2,-0.31411,-12.56930,-13.39170
2015-03 - 2018-05,108757,IAEA-C2,1.87880,-2.83390,-1.14250
2015-03 - 2018-05,108765,ETH-3,11.35470,4.33200,15.68970
2015-03 - 2018-05,108773,IAEA-C1,12.12450,3.88360,15.73470
2015-03 - 2018-05,108781,EG4,-25.26100,-38.65450,-62.95680
2015-03 - 2018-05,109367,ETH-2,-0.23842,-12.63720,-13.37800
2015-03 - 2018-05,109417,ETH-3,11.47360,4.41570,15.88300
2015-03 - 2018-05,109470,IAEA-C1,12.17750,3.76750,15.65350
2015-03 - 2018-05,109486,MERCK,-30.25280,-9.75660,-40.85100
2015-03 - 2018-05,109545,ETH-4,-0.43046,-12.84490,-13.57740
2015-03 - 2018-05,109746,IAEA-C1,12.15890,3.81500,15.74920
2015-03 - 2018-05,109754,IAEA-C2,1.94510,-2.85080,-1.13430
2015-03 - 2018-05,109770,MERCK,-29.97520,-9.64180,-40.46610
2015-03 - 2018-05,109796,MERCK,-30.20400,-9.68620,-40.78950
2015-03 - 2018-05,109804,IAEA-C1,12.11300,3.82550,15.71710
2015-03 - 2018-05,109812,IAEA-C2,1.89560,-2.88320,-1.16010
2015-03 - 2018-05,109836,MERCK,-30.15720,-9.64070,-40.61980
2015-03 - 2018-05,109844,IAEA-C2,1.87940,-2.81930,-1.15210
2015-03 - 2018-05,110085,IAEA-C2,1.91060,-2.83200,-1.08200
2015-03 - 2018-05,110093,MERCK,-30.02030,-9.55660,-40.41540
2015-03 - 2018-05,110109,IAEA-C2,1.87530,-2.84900,-1.11910
2015-03 - 2018-05,110138,ETH-3,11.42910,4.38930,15.81370
2015-03 - 2018-05,110154,IAEA-C2,1.98630,-2.79940,-0.95998
