Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2015-12,14,16,-3.952,24.710,0.0193,1.0896,0.0135,0.835 ± 0.008,-4.489 ± 0.203,-0.795 ± 0.005
2016-10,13,40,-3.762,33.882,0.0347,0.7175,0.0151,0.898 ± 0.007,-4.967 ± 0.173,-0.831 ± 0.004
2017-02,9,41,-3.742,33.896,0.0304,0.2970,0.0152,0.924 ± 0.009,-5.705 ± 0.192,-0.855 ± 0.005
2017-05,8,25,-3.722,33.943,0.0241,0.3220,0.0129,0.885 ± 0.009,-4.868 ± 0.207,-0.837 ± 0.005
