Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG25,7,-27.60,37.42,0.9196,,,0.0133,
EG50,7,-13.18,27.30,0.8001,,,0.0083,
HG,7,-20.68,30.50,0.0266,,,0.0180,
ETH-1,4,2.03,36.97,0.2013,0.0107,± 0.0219,0.0174,0.122
ETH-2,4,-10.17,19.77,0.1650,0.0101,± 0.0206,0.0258,0.048
ETH-3,5,1.71,37.52,0.6143,0.0099,± 0.0202,0.0056,1.000
ETH-4,4,-10.18,19.83,0.4454,0.0095,± 0.0194,0.0080,0.836
