Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
Feb_2017,9,10,-10.492,31.560,20.3934,3.2675,0.0096,0.948 ± 0.012,-1.807 ± 0.252,-0.832 ± 0.008
Mar_2017,12,7,-10.482,31.443,17.8479,7.3277,0.0200,0.927 ± 0.010,-1.718 ± 0.232,-0.826 ± 0.008
