UID,Lab,Session,Instrument,Acid T,Sample,Mass,d45,d46,d47
01_01_001,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.678000,11.999000,17.150000
01_01_002,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.706000,11.992000,17.142000
01_01_003,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.681000,11.933000,17.053000
01_01_004,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.678000,11.947000,17.066000
01_01_005,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.679000,11.990000,17.077000
01_01_006,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.688000,11.987000,17.072000
01_01_007,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.689000,11.968000,17.078000
01_01_008,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.682000,11.818000,16.921000
01_01_009,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.679000,11.844000,16.939000
01_01_010,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.664000,11.778000,16.891000
01_01_011,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.620000,11.732000,16.788000
01_01_012,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.677000,11.807000,16.874000
01_01_013,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.782000,12.019000,17.196000
01_01_014,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.768000,11.962000,17.159000
01_01_015,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.781000,12.025000,17.204000
01_01_016,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.783000,12.052000,17.200000
01_01_017,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.346000,-4.743000,-11.812000
01_01_018,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.333000,-4.707000,-11.703000
01_01_019,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.359000,-4.799000,-11.835000
01_01_020,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.351000,-4.772000,-11.820000
01_01_021,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.363000,-4.783000,-11.858000
01_01_022,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.362000,-4.756000,-11.837000
01_01_023,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.331000,-4.739000,-11.790000
01_01_024,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.360000,-4.781000,-11.859000
01_01_025,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.349000,-4.776000,-11.833000
01_01_026,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.344000,-4.771000,-11.807000
01_01_027,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.329000,-4.746000,-11.802000
01_01_028,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.366000,-4.953000,-12.032000
01_01_029,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.352000,-4.905000,-11.982000
01_01_030,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.330000,-4.899000,-11.941000
01_01_031,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.345000,-4.940000,-11.998000
01_01_032,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.252000,-4.695000,-11.691000
01_01_033,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.258000,-4.717000,-11.740000
01_01_034,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.392000,12.405000,17.638000
01_01_035,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.397000,12.466000,17.693000
01_01_036,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.387000,12.426000,17.620000
01_01_037,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.405000,12.447000,17.633000
01_01_038,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.388000,12.328000,17.493000
01_01_039,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.427000,12.361000,17.545000
01_01_040,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.348000,12.245000,17.321000
01_01_041,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.403000,12.350000,17.497000
01_01_042,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.346000,12.183000,17.303000
01_01_043,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,5.418000,12.346000,17.534000
01_01_044,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.383000,-4.870000,-11.700000
01_01_045,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.373000,-4.991000,-11.838000
01_01_046,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.386000,-5.025000,-11.875000
01_01_047,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.345000,-4.924000,-11.788000
01_01_048,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.272000,-4.765000,-11.556000
01_01_049,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.277000,-4.788000,-11.579000
01_01_050,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-6.276000,-4.785000,-11.577000
01_02_001,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.677000,11.850000,17.043000
01_02_002,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.649000,11.794000,16.936000
01_02_003,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.689000,11.878000,17.091000
01_02_004,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.703000,11.917000,17.095000
01_02_005,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.632000,11.795000,16.902000
01_02_006,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,5.600000,11.743000,16.843000
01_02_007,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-6.405000,-4.955000,-11.915000
01_02_008,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-6.415000,-4.980000,-11.924000
01_02_009,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-6.334000,-4.797000,-11.694000
01_02_010,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-6.395000,-4.975000,-11.947000
01_02_011,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-6.390000,-4.935000,-11.900000
01_02_012,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,5.320000,12.145000,17.317000
01_02_013,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,5.342000,12.200000,17.411000
01_02_014,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,5.298000,12.126000,17.247000
01_02_015,Lab01,Session02,Nu Perspective,70,ETH-4,0.500,-6.435000,-5.034000,-11.851000
01_03_001,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.716000,12.015000,17.140000
01_03_002,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.707000,11.964000,17.042000
01_03_003,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.710000,12.028000,17.086000
01_03_004,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.718000,12.023000,17.107000
01_03_005,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,11.959000,17.041000
01_03_006,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.715000,12.012000,17.078000
01_03_007,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.721000,12.038000,17.113000
01_03_008,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.716000,11.999000,17.080000
01_03_009,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.733000,12.039000,17.126000
01_03_010,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,12.079000,17.162000
01_03_011,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,12.049000,17.093000
01_03_012,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.717000,12.042000,17.107000
01_03_013,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,12.003000,17.059000
01_03_014,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.725000,12.071000,17.159000
01_03_015,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.725000,12.016000,17.098000
01_03_016,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.720000,12.020000,17.111000
01_03_017,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,12.008000,17.079000
01_03_018,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.723000,12.017000,17.095000
01_03_019,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.721000,12.041000,17.145000
01_03_020,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.714000,12.017000,17.110000
01_03_021,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.713000,12.048000,17.149000
01_03_022,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,12.011000,17.115000
01_03_023,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.726000,12.032000,17.147000
01_03_024,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,11.983000,17.081000
01_03_025,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.687000,11.948000,17.023000
01_03_026,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.727000,12.021000,17.112000
01_03_027,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.718000,11.999000,17.117000
01_03_028,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.682000,11.919000,16.974000
01_03_029,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,11.983000,17.046000
01_03_030,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.720000,12.029000,17.130000
01_03_031,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.724000,12.038000,17.145000
01_03_032,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.723000,12.023000,17.160000
01_03_033,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.769000,12.129000,17.286000
01_03_034,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.734000,12.046000,17.167000
01_03_035,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.709000,12.018000,17.081000
01_03_036,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.724000,12.086000,17.204000
01_03_037,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,12.037000,17.111000
01_03_038,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.725000,12.076000,17.184000
01_03_039,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.701000,12.040000,17.121000
01_03_040,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.706000,12.020000,17.116000
01_03_041,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.693000,11.953000,17.038000
01_03_042,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.666000,11.911000,16.960000
01_03_043,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.664000,11.875000,16.901000
01_03_044,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.701000,11.985000,17.083000
01_03_045,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,11.991000,17.112000
01_03_046,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.701000,11.970000,17.010000
01_03_047,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.656000,11.880000,16.905000
01_03_048,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.696000,11.999000,17.068000
01_03_049,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.687000,11.955000,17.008000
01_03_050,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.700000,12.008000,17.073000
01_03_051,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,12.021000,17.125000
01_03_052,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.695000,12.001000,17.075000
01_03_053,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.698000,12.042000,17.092000
01_03_054,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.703000,12.014000,17.099000
01_03_055,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.744000,12.121000,17.230000
01_03_056,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.699000,11.958000,17.027000
01_03_057,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.700000,11.942000,17.006000
01_03_058,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.708000,12.016000,17.074000
01_03_059,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,12.002000,17.049000
01_03_060,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.697000,11.967000,17.022000
01_03_061,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.699000,11.975000,17.067000
01_03_062,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.688000,11.941000,16.978000
01_03_063,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.726000,12.085000,17.217000
01_03_064,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.686000,11.976000,17.036000
01_03_065,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.681000,12.025000,17.062000
01_03_066,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.770000,12.114000,17.290000
01_03_067,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.744000,12.050000,17.184000
01_03_068,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.699000,11.919000,16.982000
01_03_069,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.682000,11.896000,16.943000
01_03_070,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.688000,11.943000,16.988000
01_03_071,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.665000,11.854000,16.912000
01_03_072,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.668000,11.835000,16.925000
01_03_073,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.706000,11.929000,17.058000
01_03_074,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.672000,11.837000,16.899000
01_03_075,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.662000,11.844000,16.870000
01_03_076,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.669000,11.893000,16.949000
01_03_077,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.696000,11.955000,17.017000
01_03_078,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.680000,11.901000,16.997000
01_03_079,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.666000,11.900000,16.937000
01_03_080,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.703000,11.957000,17.023000
01_03_081,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.731000,12.055000,17.134000
01_03_082,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.663000,11.852000,16.855000
01_03_083,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.755000,12.092000,17.220000
01_03_084,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.753000,12.094000,17.220000
01_03_085,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.723000,12.048000,17.130000
01_03_086,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.720000,12.013000,17.098000
01_03_087,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,11.994000,17.127000
01_03_088,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.713000,11.976000,17.040000
01_03_089,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,11.965000,17.042000
01_03_090,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.716000,12.023000,17.086000
01_03_091,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.694000,11.965000,17.068000
01_03_092,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.719000,12.016000,17.129000
01_03_093,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.730000,12.093000,17.158000
01_03_094,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.680000,11.931000,16.971000
01_03_095,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.709000,12.001000,17.066000
01_03_096,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.745000,12.106000,17.202000
01_03_097,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,12.076000,17.133000
01_03_098,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.712000,12.041000,17.130000
01_03_099,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,12.012000,17.082000
01_03_100,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.718000,12.011000,17.087000
01_03_101,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.716000,12.049000,17.115000
01_03_102,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.707000,12.008000,17.063000
01_03_103,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.722000,12.038000,17.108000
01_03_104,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.690000,11.986000,17.033000
01_03_105,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.722000,12.040000,17.097000
01_03_106,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.705000,12.004000,17.061000
01_03_107,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.721000,12.063000,17.129000
01_03_108,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.726000,12.063000,17.121000
01_03_109,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.732000,12.102000,17.185000
01_03_110,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.696000,12.008000,16.998000
01_03_111,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.711000,12.064000,17.107000
01_03_112,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.718000,12.036000,17.080000
01_03_113,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.759000,12.052000,17.153000
01_03_114,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.762000,12.061000,17.185000
01_03_115,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.723000,12.188000,17.279000
01_03_116,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.701000,11.953000,17.015000
01_03_117,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.771000,12.079000,17.156000
01_03_118,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.774000,12.064000,17.121000
01_03_119,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.768000,12.060000,17.145000
01_03_120,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.766000,12.052000,17.106000
01_03_121,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.751000,12.062000,17.095000
01_03_122,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.758000,12.075000,17.146000
01_03_123,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.763000,12.037000,17.123000
01_03_124,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.758000,11.977000,17.076000
01_03_125,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.756000,12.050000,17.121000
01_03_126,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.760000,12.006000,17.067000
01_03_127,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.763000,12.048000,17.122000
01_03_128,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.745000,12.018000,17.045000
01_03_129,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.762000,12.039000,17.149000
01_03_130,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.763000,12.028000,17.102000
01_03_131,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.761000,12.056000,17.127000
01_03_132,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.750000,12.026000,17.106000
01_03_133,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.758000,12.019000,17.081000
01_03_134,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.749000,11.996000,17.070000
01_03_135,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.767000,12.133000,17.254000
01_03_136,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.757000,12.120000,17.215000
01_03_137,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.761000,12.117000,17.215000
01_03_138,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.767000,12.127000,17.221000
01_03_139,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.766000,12.159000,17.267000
01_03_140,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.775000,12.132000,17.241000
01_03_141,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.765000,12.100000,17.235000
01_03_142,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.772000,12.148000,17.278000
01_03_143,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.772000,12.099000,17.188000
01_03_144,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.769000,12.117000,17.180000
01_03_145,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.746000,12.051000,17.092000
01_03_146,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.771000,12.141000,17.228000
01_03_147,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.777000,12.161000,17.254000
01_03_148,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.775000,12.163000,17.268000
01_03_149,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.764000,12.167000,17.230000
01_03_150,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,5.769000,12.141000,17.241000
01_03_151,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.292000,-4.676000,-11.674000
01_03_152,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.309000,-4.685000,-11.708000
01_03_153,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.291000,-4.680000,-11.724000
01_03_154,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.310000,-4.725000,-11.796000
01_03_155,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.289000,-4.705000,-11.748000
01_03_156,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.309000,-4.716000,-11.768000
01_03_157,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.289000,-4.688000,-11.743000
01_03_158,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.295000,-4.733000,-11.778000
01_03_159,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.292000,-4.691000,-11.750000
01_03_160,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.287000,-4.699000,-11.737000
01_03_161,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.294000,-4.688000,-11.754000
01_03_162,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.311000,-4.740000,-11.807000
01_03_163,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.313000,-4.779000,-11.855000
01_03_164,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.288000,-4.706000,-11.736000
01_03_165,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.288000,-4.704000,-11.753000
01_03_166,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.293000,-4.708000,-11.749000
01_03_167,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.294000,-4.654000,-11.680000
01_03_168,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.298000,-4.686000,-11.724000
01_03_169,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.300000,-4.739000,-11.756000
01_03_170,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.270000,-4.718000,-11.716000
01_03_171,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.300000,-4.747000,-11.797000
01_03_172,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.314000,-4.741000,-11.766000
01_03_173,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.272000,-4.655000,-11.617000
01_03_174,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.298000,-4.759000,-11.785000
01_03_175,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.316000,-4.759000,-11.836000
01_03_176,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.271000,-4.664000,-11.652000
01_03_177,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.302000,-4.708000,-11.710000
01_03_178,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.244000,-4.630000,-11.583000
01_03_179,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.287000,-4.688000,-11.705000
01_03_180,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.285000,-4.725000,-11.746000
01_03_181,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.295000,-4.690000,-11.715000
01_03_182,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.301000,-4.685000,-11.744000
01_03_183,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.302000,-4.656000,-11.699000
01_03_184,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.298000,-4.694000,-11.682000
01_03_185,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.289000,-4.735000,-11.725000
01_03_186,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.325000,-4.770000,-11.808000
01_03_187,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.304000,-4.712000,-11.754000
01_03_188,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.329000,-4.791000,-11.851000
01_03_189,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.322000,-4.805000,-11.875000
01_03_190,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.318000,-4.744000,-11.771000
01_03_191,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.273000,-4.720000,-11.729000
01_03_192,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.323000,-4.769000,-11.825000
01_03_193,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.314000,-4.782000,-11.812000
01_03_194,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.316000,-4.715000,-11.765000
01_03_195,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.316000,-4.754000,-11.809000
01_03_196,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.307000,-4.729000,-11.797000
01_03_197,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.325000,-4.758000,-11.831000
01_03_198,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.303000,-4.694000,-11.763000
01_03_199,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.281000,-4.683000,-11.700000
01_03_200,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.273000,-4.717000,-11.776000
01_03_201,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.322000,-4.756000,-11.850000
01_03_202,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.323000,-4.787000,-11.853000
01_03_203,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.294000,-4.741000,-11.776000
01_03_204,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.307000,-4.755000,-11.822000
01_03_205,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.305000,-4.773000,-11.845000
01_03_206,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.363000,-4.889000,-11.974000
01_03_207,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.277000,-4.695000,-11.680000
01_03_208,Lab01,Session03,Nu Perspective,70,ETH-2,0.500,-6.316000,-4.762000,-11.842000
