UID,Session,Sample,D17O,TeqCO2,d45,d46,d47
E11,2017-02,ETH-1,0.0,,5.431791,2.925614,7.76865
E12,2017-02,ETH-2,0.0,,-6.416368,-13.370349,-20.241817
E14,2017-02,eEG30,0.005,30.0,0.322327,8.630185,8.736285
E15,2017-02,ETH-3,0.0,,5.184046,3.47886,8.472249
E25,2017-02,ETH-3,0.0,,5.183249,3.466684,8.441135
E26,2017-02,ETH-1,0.0,,5.453135,2.98074,7.844445
E30,2017-02,dEG30,-0.034,30.0,-0.793105,-23.883381,-24.179629
E31,2017-02,eHG,0.015,1000.0,0.219404,5.07214,4.360854
E33,2017-02,ETH-1,0.0,,5.453722,3.022128,7.912592
E34,2017-02,ETH-3,0.0,,5.174804,3.410729,8.359944
E35,2017-02,ETH-2,0.0,,-6.424268,-13.379015,-20.243479
E36,2017-02,ETH-3,0.0,,5.142181,3.357238,8.293439
E37,2017-02,ETH-1,0.0,,5.431634,2.976045,7.829511
E38,2017-02,eEG30,0.005,30.0,0.334198,8.609773,8.731193
E45,2017-02,ETH-3,0.0,,5.14072,3.274572,8.193382
E46,2017-02,ETH-1,0.0,,5.462402,3.101528,7.962067
E50,2017-02,ETH-3,0.0,,5.160081,3.42567,8.377419
E53,2017-02,ETH-2,0.0,,-6.43886,-13.404956,-20.276537
E54,2017-02,dHG,-0.088,1000.0,-0.741538,-24.092627,-25.098234
E62,2017-02,eHG,0.015,1000.0,0.189142,4.44731,3.699401
E65,2017-02,ETH-3,0.0,,5.175265,3.421559,8.396053
E66,2017-02,ETH-1,0.0,,5.450473,2.966336,7.832687
E67,2017-02,ETH-2,0.0,,-6.422946,-13.440439,-20.283176
E70,2017-02,dEG30,-0.034,30.0,-0.800664,-23.838859,-24.156093
E72,2017-02,ETH-2,0.0,,-6.425508,-13.401969,-20.260586
E76,2017-02,ETH-3,0.0,,5.158627,3.337725,8.283111
E77,2017-02,dHG,-0.088,1000.0,-0.733471,-23.631175,-24.6363
E78,2017-02,ETH-1,0.0,,5.462225,3.031676,7.91975
E82,2017-02,ETH-4,0.0,,-6.575342,-13.658186,-20.42284
E87,2017-02,ETH-4,0.0,,-6.555942,-13.639453,-20.386781
E92,2017-02,ETH-3,0.0,,5.139898,3.27337,8.203022
E93,2017-02,ETH-1,0.0,,5.475179,3.135097,8.034797
E94,2017-02,ETH-2,0.0,,-6.406114,-13.288478,-20.12472
E96,2017-02,ETH-3,0.0,,5.168665,3.423274,8.371596
E97,2017-02,ETH-2,0.0,,-6.421196,-13.398622,-20.247617
E98,2017-02,ETH-1,0.0,,5.434166,2.934917,7.795701
E99,2017-02,ETH-3,0.0,,5.136508,3.342847,8.289994
E100,2017-02,ETH-4,0.0,,-6.583277,-13.702646,-20.490332
E109,2017-02,eEG30,0.005,30.0,0.390578,8.216137,8.390956
E110,2017-02,ETH-2,0.0,,-6.407809,-13.307558,-20.121576
E112,2017-02,ETH-3,0.0,,5.17524,3.520457,8.490965
E114,2017-02,ETH-4,0.0,,-6.569221,-13.647356,-20.429701
E128,2017-02,ETH-3,0.0,,5.188894,3.420269,8.39351
E132,2017-02,ETH-1,0.0,,5.430034,2.917337,7.774358
E136,2017-02,ETH-3,0.0,,5.169644,3.354752,8.332961
E163,2017-05,eHG,0.015,1000.0,0.207348,4.948538,4.246023
E172,2017-05,eEG30,0.005,30.0,0.332365,9.300134,9.398894
E173,2017-05,dEG30,-0.034,30.0,-0.772615,-23.240252,-23.58946
E180,2017-05,dEG30,-0.034,30.0,-0.771966,-23.204502,-23.518086
E181,2017-05,eEG30,0.005,30.0,0.330197,9.231972,9.333368
E188,2017-05,dHG,-0.088,1000.0,-0.763783,-23.554669,-24.613408
E205,2017-05,eEG30,0.005,30.0,0.402875,10.023855,10.182634
E206,2017-05,dHG,-0.088,1000.0,-0.729096,-23.608021,-24.633172
E213,2017-05,ETH-1,0.0,,5.465947,3.043126,7.948681
E221,2017-05,ETH-3,0.0,,5.196096,3.577009,8.560208
E232,2017-05,ETH-2,0.0,,-6.423487,-13.445806,-20.287395
E238,2017-05,ETH-1,0.0,,5.472289,3.066656,7.992752
E239,2017-05,ETH-3,0.0,,5.176802,3.471627,8.449396
E250,2017-05,ETH-3,0.0,,5.141263,3.310194,8.235468
E260,2017-05,ETH-1,0.0,,5.37994,2.838289,7.634625
E266,2017-05,ETH-3,0.0,,5.127899,3.270779,8.177814
E267,2017-05,ETH-2,0.0,,-6.462928,-13.525172,-20.408692
E268,2017-05,ETH-1,0.0,,5.368202,2.775542,7.594583
E269,2017-05,ETH-1,0.0,,5.464701,3.092266,7.98937
E270,2017-05,ETH-2,0.0,,-6.399576,-13.295937,-20.119552
E271,2017-05,ETH-3,0.0,,5.164756,3.42951,8.377671
E273,2017-05,ETH-2,0.0,,-6.43083,-13.412415,-20.287152
E274,2017-05,ETH-1,0.0,,5.404881,2.900478,7.748443
E276,2017-05,ETH-2,0.0,,-6.48587,-13.475332,-20.39324
E277,2017-05,ETH-1,0.0,,5.357797,2.809404,7.589639
E278,2017-05,ETH-1,0.0,,5.463849,3.088889,8.003282
E279,2017-05,ETH-3,0.0,,5.181826,3.44172,8.415955
E282,2017-05,ETH-1,0.0,,5.415912,2.904433,7.749916
E283,2017-05,ETH-3,0.0,,5.125889,3.308128,8.226372
E288,2017-05,ETH-3,0.0,,5.160194,3.37545,8.317084
E289,2017-05,ETH-1,0.0,,5.427081,2.946278,7.79234
E292,2017-05,ETH-3,0.0,,5.106695,3.237617,8.135342
E293,2017-05,ETH-1,0.0,,5.368866,2.790512,7.588721
